area,price,facade,entrance_wid,floors,direction_home,direction_bal,bedroom,toilet,status_doc,furniture,date_post,date_exp,intent,pageType,productId,projectId,vipType,verified,expired,cateId,cityCode,districtId,wardId,streetId,pageId,createByUser,productType
150.0,1400.0,,,,,,,,False,False,2023-10-18,2023-10-28,sale,ldp,38349716,0,5,False,False,283,SG,72,11862,6824,227,,
76.0,3600.0,,,,,,2.0,2.0,False,False,2023-10-17,2023-11-16,sale,ldp,35324334,2373,5,False,False,324,SG,72,11850,11276,227,,
78.0,3100.0,,,,,,2.0,2.0,False,False,2023-10-18,2023-11-02,sale,ldp,37705381,2971,5,False,False,324,SG,72,11850,278,227,,
120.0,,,,,,,,,False,False,2023-10-18,2023-10-28,sale,ldp,38342140,0,5,False,False,283,SG,72,11859,0,227,,
114.7,4150.0,,8.0,,,,,,False,False,2023-10-09,2023-10-19,sale,ldp,34092583,0,5,False,False,283,SG,72,11863,6864,227,,
118.0,,6.0,,,,,,,False,False,2023-10-17,2023-10-27,sale,ldp,37749542,0,5,False,False,283,SG,72,11849,5200,227,,
136.0,,7.0,,,,,,,False,False,2023-10-17,2023-10-27,sale,ldp,38105830,0,5,False,False,283,SG,72,11859,5977,227,,
65.0,3500.0,,,,west,east,2.0,2.0,False,False,2023-10-17,2023-11-16,sale,ldp,33962325,2373,5,False,False,324,SG,72,11850,5844,227,,
90.0,,,24.0,,,,,,False,False,2023-10-18,2023-10-28,sale,ldp,38352224,0,5,False,False,283,SG,72,11857,1298,227,,
55.0,2850.0,,,,,,2.0,1.0,False,False,2023-10-14,2023-11-13,sale,ldp,38321732,2373,5,False,False,324,SG,72,11850,11276,227,,
72.0,,,,,,,,,False,False,2023-10-18,2023-10-28,sale,ldp,32399698,2971,5,False,False,40,SG,72,11850,278,227,,
83.0,2850.0,,,,,,2.0,2.0,False,False,2023-10-16,2023-10-26,sale,ldp,38332341,724,5,False,False,324,SG,72,11850,5844,227,,
85.0,3100.0,,,,south,north,3.0,2.0,False,False,2023-10-14,2023-10-24,sale,ldp,37754786,4613,5,False,False,324,SG,72,11847,278,227,,
79.0,3500.0,,,,,,2.0,2.0,False,False,2023-09-27,2023-10-27,sale,ldp,38195652,2373,5,False,False,324,SG,72,11850,11276,227,,
70.0,,,,,,,2.0,2.0,False,False,2023-10-12,2023-10-22,sale,ldp,37151979,2373,5,False,False,324,SG,72,0,11276,227,,
113.0,1850.0,,,,,,,,False,False,2023-10-18,2023-10-28,sale,ldp,37979981,0,5,False,False,283,SG,72,11856,0,227,,
90.0,,,5.0,,,,,,False,False,2023-10-18,2023-11-02,sale,ldp,38349708,0,5,False,False,283,SG,72,11847,8005,227,,
150.0,,5.0,3.0,,east,,,,False,False,2023-10-05,2023-10-20,sale,ldp,35148607,0,5,False,False,283,SG,72,11849,5200,227,,
95.0,6900.0,5.0,,,,,4.0,5.0,False,False,2023-10-17,2023-10-24,sale,ldp,38337249,0,3,False,False,163,SG,72,11862,5884,227,,
1530.0,6430.0,,,,,,,,False,False,2023-10-16,2023-10-26,sale,ldp,36625975,0,3,False,False,283,SG,72,11855,7897,227,,
156.0,15500.0,,,,,,3.0,3.0,False,False,2023-10-16,2023-10-26,sale,ldp,37778802,2338,3,False,False,325,SG,72,11850,278,227,,
64.0,5500.0,,,,,,,,False,False,2023-10-16,2023-10-23,sale,ldp,38333510,0,3,False,False,283,SG,72,11863,3786,227,,
105.0,18500.0,5.0,,,,,3.0,,False,False,2023-10-16,2023-10-23,sale,ldp,32561081,1695,3,False,False,575,SG,72,11850,11206,227,,
105.0,,,8.0,,,,,,False,False,2023-10-16,2023-10-23,sale,ldp,38330612,0,3,False,False,283,SG,72,11859,1894,227,,
53.0,1800.0,,,,north,south,1.0,1.0,False,False,2023-10-16,2023-10-23,sale,ldp,36961811,4432,3,False,False,324,SG,72,11857,1298,227,,
100.0,9000.0,,40.0,,,,5.0,6.0,False,False,2023-10-16,2023-10-23,sale,ldp,38275006,1565,3,False,False,163,SG,72,11850,678,227,,
700.0,18000.0,,,,,,,,False,False,2023-10-13,2023-10-20,sale,ldp,37082246,0,3,True,False,283,SG,72,11859,7146,227,,
52.0,1700.0,,,,,,1.0,1.0,False,False,2023-10-10,2023-10-20,sale,ldp,37620434,4432,3,False,False,324,SG,72,11857,11235,227,,
