area,price,facade,entrance_wid,floors,direction_home,direction_bal,bedroom,toilet,status_doc,furniture,date_post,date_exp,intent,pageType,productId,projectId,vipType,verified,expired,cateId,cityCode,districtId,wardId,streetId,pageId,createByUser,productType
546 m²,26 tỷ,"23,4 m",7 m,,,,,,,,16/10/2023,26/10/2023,Sale,LDP,37917255,0,5,False,False,283,SG,71,11915,11207,227,,
"57,5 m²",4 tỷ,4 m,"3,5 m",,Đông - Bắc,,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,16/10/2023,26/10/2023,Sale,LDP,37855102,0,5,False,False,41,SG,71,136,11211,227,,
"62,5 m²",8 tỷ,5 m,7 m,3 tầng,Tây - Bắc,Tây - Bắc,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,16/10/2023,26/10/2023,Sale,LDP,38078949,0,5,False,False,163,SG,71,134,3631,227,,
60 m²,"4,5 tỷ",6 m,6 m,,Tây - Bắc,,,,"Sổ sẵn, sang tên ngay",,16/10/2023,26/10/2023,Sale,LDP,38248947,0,5,True,False,283,SG,71,11845,5011,227,,
147 m²,33 tỷ,,,,,,,,,,16/10/2023,26/10/2023,Sale,LDP,38176154,2034,5,False,False,163,SG,71,134,7634,227,,
51 m²,"4,8 tỷ",5 m,5 m,4 tầng,Bắc,Bắc,3 phòng,4 phòng,"Sổ hồng thổ cư, sang tên 2 phút",Có,20/10/2023,30/10/2023,Sale,LDP,38151901,0,5,False,False,41,SG,71,134,11223,227,,
217 m²,"4,85 tỷ",10 m,5 m,1 tầng,,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,16/10/2023,31/10/2023,Sale,LDP,38331212,0,5,False,False,41,SG,71,137,1998,227,,
44 m²,4 tỷ,5 m,9 m,2 tầng,Đông,Đông,2 phòng,2 phòng,"Sổ hoàn công, sang tên ngay",Có,20/10/2023,30/10/2023,Sale,LDP,38037925,0,5,False,False,41,SG,71,133,6198,227,,
89 m²,"17,5 tỷ","6,53 m",6 m,4 tầng,Đông - Bắc,Đông - Bắc,8 phòng,8 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,16/10/2023,26/10/2023,Sale,LDP,38330151,0,5,False,False,41,SG,71,12425,3789,227,,
79 m²,"10,5 tỷ",,,2 tầng,,,,,,,16/10/2023,26/10/2023,Sale,LDP,36829210,0,5,False,False,163,SG,71,135,2638,227,,
125 m²,"10,5 tỷ",5 m,,,,,,,,,16/10/2023,26/10/2023,Sale,LDP,37494911,0,5,False,False,283,SG,71,133,4135,227,,
65 m²,"6,8 tỷ",,,3 tầng,,,4 phòng,5 phòng,,,16/10/2023,26/10/2023,Sale,LDP,38032276,0,5,False,False,41,SG,71,11953,11209,227,,
161 m²,29 tỷ,,,,,,,,,,20/10/2023,30/10/2023,Sale,LDP,38068772,2034,5,False,False,163,SG,71,134,7634,227,,
