area,price,facade,entrance_wid,floors,direction_home,direction_bal,bedroom,toilet,status_doc,furniture,date_post,date_exp,intent,pageType,productId,projectId,vipType,verified,expired,cateId,cityCode,districtId,wardId,streetId,pageId,createByUser,productType
64.0,7800.0,,,,,,4.0,4.0,False,False,2023-10-16,2023-10-26,sale,ldp,38330873,0,5,False,True,41,SG,69,8987,6004,227,2508337,38
57.0,9200.0,,,,,,8.0,5.0,False,False,2023-10-17,2023-10-27,sale,ldp,38338464,0,5,True,True,41,SG,69,8987,792,227,2531362,38
56.0,4400.0,,4.0,,,,2.0,,False,False,2023-11-07,2023-11-17,sale,ldp,38251710,0,5,True,True,41,SG,69,8983,621,227,2531362,38
150.0,51000.0,,,,,,,,False,False,2023-10-18,2023-10-28,sale,ldp,37762644,0,5,False,True,163,SG,69,8976,527,227,1902344,38
90.0,8400.0,5.0,6.0,,,,,,False,False,2023-10-24,2023-11-03,sale,ldp,38319776,0,5,False,True,41,SG,69,8979,1759,227,2538540,38
60.0,3800.0,,,,,,2.0,2.0,False,False,2023-11-13,2023-11-23,sale,ldp,38167158,0,5,False,True,41,SG,69,8991,318,227,2247536,38
160.0,32900.0,,,,,,5.0,,False,False,2023-11-25,2023-12-05,sale,ldp,38170428,0,5,False,True,41,SG,69,8975,4830,227,1550409,38
65.0,7800.0,,,,,,,,False,False,2023-11-11,2023-11-21,sale,ldp,38339382,0,5,False,True,41,SG,69,8986,621,227,2538540,38
99.0,5600.0,,,,,,3.0,2.0,False,False,2023-10-18,2023-10-28,sale,ldp,38126760,2059,5,False,True,324,SG,69,8976,4831,227,291150,38
100.0,12500.0,5.0,,,,,3.0,3.0,False,False,2023-11-03,2023-11-13,sale,ldp,38302159,0,5,False,True,41,SG,69,8979,938,227,1597008,38
139.0,6200.0,,,,,,3.0,2.0,False,False,2023-12-02,2023-12-17,sale,ldp,34515490,2047,5,False,False,324,SG,69,8976,4831,227,1789657,38
130.0,11800.0,5.0,6.0,,,,,,False,False,2023-10-27,2023-11-06,sale,ldp,38337860,0,5,False,True,41,SG,69,8984,621,227,1597008,38
75.0,3650.0,,,,,,2.0,2.0,False,False,2023-12-05,2023-12-20,sale,ldp,33724418,2047,5,False,False,324,SG,69,8976,4831,227,1789657,38
76.0,7600.0,,,,,,,,False,False,2023-11-14,2023-11-24,sale,ldp,38290643,0,5,False,True,41,SG,69,8985,5603,227,1597008,38
