area,price,facade,entrance_wid,floors,direction_home,direction_bal,bedroom,toilet,status_doc,furniture,date_post,date_exp,intent,pageType,productId,projectId,vipType,verified,expired,cateId,cityCode,districtId,wardId,streetId,pageId
147 m²,33 tỷ,N/A,24 m,4 tầng,N/A,N/A,N/A,N/A,N/A,N/A,16/10/2023,23/10/2023,Sale,LDP,36792612,2034,3,False,False,163,SG,71,134,7634,227
12.000 m²,535 tỷ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16/10/2023,23/10/2023,Sale,LDP,38333292,0,3,False,False,283,SG,71,12437,0,227
53 m²,"2,05 tỷ",N/A,N/A,N/A,Tây - Bắc,Đông - Nam,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,16/10/2023,23/10/2023,Sale,LDP,38331134,3049,3,False,False,324,SG,71,11845,3789,227
67 m²,"2,5 tỷ",N/A,N/A,N/A,Tây - Bắc,Đông - Nam,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Nội thất cao cấp,16/10/2023,23/10/2023,Sale,LDP,38249030,3049,3,False,False,324,SG,71,11845,3789,227
70 m²,Thỏa thuận,N/A,N/A,N/A,N/A,N/A,2 phòng,1 phòng,N/A,Đầy đủ.,18/10/2023,28/10/2023,Sale,LDP,34401528,2538,5,False,False,324,SG,71,11845,1999,227
"51,1 m²",Thỏa thuận,"4,3 m",N/A,N/A,N/A,N/A,N/A,N/A,Sổ đỏ,N/A,15/10/2023,25/10/2023,Sale,LDP,36631384,0,3,False,False,283,SG,71,11895,7815,227
140 m²,"25,5 tỷ",20 m,20 m,5 tầng,N/A,N/A,6 phòng,7 phòng,Sổ đỏ/ Sổ hồng,Không nội thất,23/10/2023,02/11/2023,Sale,LDP,37972882,2034,5,False,False,325,SG,71,134,13608,227
238 m²,26 tỷ,12 m,12 m,3 tầng,Tây - Nam,Tây - Nam,5 phòng,6 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,11/10/2023,26/10/2023,Sale,LDP,38281850,0,3,False,False,41,SG,71,133,2842,227
155 m²,"14,5 tỷ","7,2 m",20 m,3 tầng,N/A,N/A,4 phòng,N/A,Sổ đỏ/ Sổ hồng,N/A,16/10/2023,23/10/2023,Sale,LDP,32400563,0,3,False,False,163,SG,71,133,11216,227
65 m²,"3,2 tỷ",N/A,N/A,N/A,N/A,N/A,2 phòng,2 phòng,Hợp đồng mua bán,Cơ bản,14/10/2023,21/10/2023,Sale,LDP,38321171,5421,3,False,True,324,SG,71,134,11192,227
440 m²,32 tỷ,11 m,10 m,N/A,Đông - Bắc,N/A,N/A,N/A,N/A,N/A,13/10/2023,28/10/2023,Sale,LDP,37180898,0,3,False,False,283,SG,71,134,7634,227
105 m²,"7,99 tỷ",10 m,10 m,3 tầng,N/A,N/A,4 phòng,5 phòng,N/A,N/A,12/10/2023,27/10/2023,Sale,LDP,38302503,0,3,False,False,41,SG,71,133,11207,227
62 m²,"2,45 tỷ",10 m,"2,5 m",N/A,Tây,N/A,N/A,N/A,Sổ đỏ/ Sổ hồng,N/A,13/10/2023,20/10/2023,Sale,LDP,38316535,0,3,False,True,283,SG,71,137,2841,227
69 m²,"3,2 tỷ","5,3 m",3 m,1 tầng,N/A,N/A,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,12/10/2023,22/10/2023,Sale,LDP,38300801,0,5,False,True,41,SG,71,11895,7815,227
34 m²,"3,1 tỷ",4 m,2 m,2 tầng,N/A,N/A,2 phòng,2 phòng,N/A,N/A,18/10/2023,02/11/2023,Sale,LDP,38122445,0,5,False,False,41,SG,71,135,2638,227
"50,5 m²","3,25 tỷ","5,8 m",5 m,N/A,N/A,N/A,N/A,N/A,Sổ đỏ,N/A,13/10/2023,23/10/2023,Sale,LDP,36739604,0,3,False,False,283,SG,71,11895,6760,227
65 m²,"3,26 tỷ",N/A,N/A,N/A,N/A,N/A,2 phòng,N/A,Hợp đồng mua bán,N/A,13/10/2023,20/10/2023,Sale,LDP,38132875,5421,3,False,True,324,SG,71,134,11192,227
58 m²,"3,65 tỷ",N/A,N/A,2 tầng,N/A,N/A,2 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,15/10/2023,30/10/2023,Sale,LDP,37117462,0,5,False,False,41,SG,71,134,11206,227
410 m²,28 tỷ,20 m,10 m,1 tầng,N/A,N/A,4 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,22/10/2023,01/11/2023,Sale,LDP,37752827,0,5,False,False,41,SG,71,133,1433,227
110 m²,"14,8 tỷ",N/A,14 m,4 tầng,N/A,N/A,N/A,N/A,N/A,N/A,16/10/2023,23/10/2023,Sale,LDP,33891411,2034,3,False,False,163,SG,71,134,7634,227
63 m²,"4,6 tỷ",N/A,N/A,3 tầng,N/A,N/A,4 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,18/10/2023,02/11/2023,Sale,LDP,36763270,0,5,False,False,41,SG,71,134,2840,227
"3.295,7 m²",61 tỷ,43 m,10 m,N/A,N/A,N/A,N/A,N/A,Sổ đỏ/ Sổ hồng,N/A,18/10/2023,28/10/2023,Sale,LDP,38214553,0,5,False,False,283,SG,71,11895,1836,227
100 m²,15 tỷ,5 m,35 m,5 tầng,N/A,N/A,5 phòng,6 phòng,N/A,N/A,14/10/2023,21/10/2023,Sale,LDP,38320957,2034,3,False,True,325,SG,71,134,7634,227
138 m²,14 tỷ,10 m,20 m,2 tầng,N/A,N/A,5 phòng,5 phòng,Đã có sổ hồng riêng,Cơ bản,13/10/2023,23/10/2023,Sale,LDP,38317301,0,5,False,False,163,SG,71,133,3780,227
52 m²,"1,85 tỷ",N/A,N/A,N/A,N/A,N/A,1 phòng,1 phòng,N/A,N/A,18/10/2023,28/10/2023,Sale,LDP,30514776,3049,5,False,False,324,SG,71,11845,3789,227
3.000 m²,59 tỷ,38 m,8 m,N/A,N/A,N/A,N/A,N/A,Sổ đỏ/ Sổ hồng,N/A,18/10/2023,28/10/2023,Sale,LDP,38177358,0,5,False,False,283,SG,71,11895,1836,227
220 m²,Thỏa thuận,11 m,10 m,N/A,N/A,N/A,N/A,N/A,- Sổ hồng riêng chính chủ.,N/A,17/10/2023,01/11/2023,Sale,LDP,32978416,0,5,False,False,283,SG,71,134,7634,227
2.000 m²,240 tỷ,N/A,N/A,N/A,Đông,N/A,N/A,N/A,Sổ đỏ/ Sổ hồng,N/A,07/10/2023,06/11/2023,Sale,LDP,37947267,0,5,False,False,325,SG,71,11953,474,227
952 m²,220 tỷ,N/A,N/A,3 tầng,N/A,N/A,5 phòng,6 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,02/10/2023,01/11/2023,Sale,LDP,38217809,0,5,False,False,163,SG,71,12437,1416,227
100 m²,"14,85 tỷ",5 m,14 m,6 tầng,Nam,N/A,6 phòng,6 phòng,Sổ hồng.,N/A,23/10/2023,07/11/2023,Sale,LDP,24592114,2034,1,False,False,325,SG,71,134,3788,227
120 m²,"15,9 tỷ",N/A,N/A,N/A,N/A,N/A,3 phòng,N/A,N/A,N/A,07/10/2023,22/10/2023,Sale,LDP,38157735,0,1,False,True,163,SG,71,133,11210,227
140 m²,25 tỷ,5 m,N/A,4 tầng,Tây,N/A,N/A,N/A,Hợp đồng mua bán,N/A,18/10/2023,28/10/2023,Sale,LDP,38206288,2034,3,False,False,575,SG,71,134,7634,227
1.100 m²,110 tỷ,1 m,N/A,20 tầng,N/A,N/A,1 phòng,1 phòng,N/A,N/A,17/10/2023,24/10/2023,Sale,LDP,37312368,0,3,False,False,163,SG,71,136,1433,227
105 m²,"15,5 tỷ",5 m,16 m,6 tầng,Tây - Nam,N/A,4 phòng,5 phòng,Đã có sổ hồng.,Rất cao cấp.,23/10/2023,07/11/2023,Sale,LDP,24604589,2034,1,False,False,325,SG,71,134,7634,227
150 m²,Thỏa thuận,7 m,6 m,N/A,Đông - Nam,Đông - Nam,2 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,17/10/2023,24/10/2023,Sale,LDP,38137120,0,3,False,False,41,SG,71,137,3780,227
57 m²,"2,3 tỷ",N/A,N/A,N/A,N/A,N/A,2 phòng,2 phòng,N/A,N/A,17/10/2023,24/10/2023,Sale,LDP,28979491,3567,3,False,False,324,SG,71,11915,1433,227
68 m²,"2,4 tỷ",N/A,N/A,N/A,N/A,Đông - Nam,2 phòng,2 phòng,N/A,N/A,17/10/2023,24/10/2023,Sale,LDP,28788921,3049,3,False,False,324,SG,71,11845,3789,227
53 m²,"1,7 tỷ",N/A,N/A,N/A,N/A,N/A,1 phòng,1 phòng,N/A,N/A,17/10/2023,24/10/2023,Sale,LDP,35597003,3049,3,False,False,324,SG,71,11845,11206,227
67 m²,"2,5 tỷ",N/A,N/A,N/A,N/A,N/A,2 phòng,2 phòng,N/A,N/A,17/10/2023,24/10/2023,Sale,LDP,28292057,3049,3,False,False,324,SG,71,11845,11219,227
90 m²,"4,7 tỷ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17/10/2023,27/10/2023,Sale,LDP,38259790,0,3,False,False,283,SG,71,135,5971,227
82 m²,"4,8 tỷ",5 m,6 m,N/A,Đông - Nam,N/A,N/A,N/A,Sổ đỏ/ Sổ hồng,N/A,18/10/2023,25/10/2023,Sale,LDP,37239112,0,3,False,False,283,SG,71,135,2638,227
60 m²,7 tỷ,N/A,N/A,4 tầng,N/A,N/A,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,23/10/2023,07/11/2023,Sale,LDP,38310856,0,5,False,False,41,SG,71,134,7634,227
152 m²,90 triệu/m²,10 m,16 m,N/A,Tây - Bắc,N/A,N/A,N/A,Sổ đỏ/ Sổ hồng,N/A,16/10/2023,26/10/2023,Sale,LDP,38334053,0,3,True,False,283,SG,71,12427,11271,227
130 m²,"13,5 tỷ",N/A,N/A,3 tầng,N/A,N/A,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,08/10/2023,18/10/2023,Sale,LDP,38274272,0,5,False,True,163,SG,71,136,1994,227
"89,3 m²",Thỏa thuận,N/A,N/A,N/A,Tây - Bắc,N/A,N/A,N/A,Sổ đỏ/ Sổ hồng,N/A,17/10/2023,24/10/2023,Sale,LDP,38281125,0,3,False,False,283,SG,71,135,2869,227
60 m²,Thỏa thuận,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sổ hồng.,N/A,17/10/2023,27/10/2023,Sale,LDP,38336979,0,5,False,False,283,SG,71,11895,11192,227
"192,3 m²","7,95 tỷ",11 m,6 m,N/A,N/A,N/A,N/A,N/A,Sổ đỏ/ Sổ hồng,N/A,11/10/2023,26/10/2023,Sale,LDP,38060777,0,5,False,False,283,SG,71,137,11209,227
"89,3 m²","4,69 tỷ","5,5 m",6 m,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20/10/2023,04/11/2023,Sale,LDP,36729285,0,5,False,False,283,SG,71,135,2869,227
160 m²,29 tỷ,N/A,30 m,5 tầng,N/A,N/A,5 phòng,5 phòng,N/A,N/A,18/10/2023,28/10/2023,Sale,LDP,37104079,0,5,False,False,325,SG,71,134,7634,227
220 m²,"17,5 tỷ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12/10/2023,22/10/2023,Sale,LDP,38301238,0,5,False,True,283,SG,71,136,5015,227
101 m²,Thỏa thuận,N/A,N/A,N/A,N/A,N/A,2 phòng,2 phòng,N/A,N/A,18/10/2023,28/10/2023,Sale,LDP,38349841,0,5,False,False,41,SG,71,135,11317,227
68 m²,"2,5 tỷ",4 m,7 m,N/A,N/A,N/A,N/A,N/A,Đã có sổ hồng.,N/A,16/10/2023,26/10/2023,Sale,LDP,38335148,0,5,False,False,283,SG,71,133,11215,227
62 m²,"6,5 tỷ","5,6 m",20 m,4 tầng,N/A,N/A,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Hoàn thiện cơ bản.,18/10/2023,28/10/2023,Sale,LDP,34773107,0,5,False,False,41,SG,71,134,7634,227
68 m²,"2,5 tỷ",4 m,7 m,N/A,N/A,N/A,N/A,N/A,Sổ đỏ chính chủ.,N/A,15/10/2023,25/10/2023,Sale,LDP,38103666,0,5,False,False,283,SG,71,133,11215,227
62 m²,Thỏa thuận,4 m,N/A,1 tầng,Đông - Nam,Đông - Nam,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,17/10/2023,27/10/2023,Sale,LDP,38344216,0,5,False,False,41,SG,71,11953,4996,227
85 m²,"5,4 tỷ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17/10/2023,27/10/2023,Sale,LDP,38342445,0,5,False,False,283,SG,71,136,11207,227
"94,7 m²",Thỏa thuận,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sổ hồng chính chủ.,N/A,18/10/2023,28/10/2023,Sale,LDP,38138595,0,5,False,False,283,SG,71,135,1433,227
193 m²,70 tỷ,50 m,50 m,4 tầng,Đông - Bắc,Đông - Bắc,4 phòng,5 phòng,Sổ hồng sang tên ngay,Cơ bản,18/10/2023,28/10/2023,Sale,LDP,38197736,0,5,False,False,163,SG,71,11953,5011,227
60 m²,"3,85 tỷ",5 m,4 m,2 tầng,N/A,N/A,3 phòng,2 phòng,Sổ hồng riêng,Đầy đủ,14/10/2023,24/10/2023,Sale,LDP,37821123,0,5,False,False,41,SG,71,133,5667,227
"112,9 m²","13,9 tỷ",20 m,N/A,1 tầng,N/A,N/A,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,N/A,18/10/2023,28/10/2023,Sale,LDP,38114788,0,5,False,False,163,SG,71,134,6198,227
65 m²,"3,1 tỷ",N/A,N/A,2 tầng,N/A,N/A,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,18/10/2023,28/10/2023,Sale,LDP,38349420,0,5,False,False,41,SG,71,11915,11192,227
72 m²,Thỏa thuận,N/A,N/A,N/A,N/A,Đông - Nam,2 phòng,2 phòng,Hợp đồng mua bán,N/A,23/10/2023,02/11/2023,Sale,LDP,37057206,2571,5,False,False,324,SG,71,11953,4996,227
297 m²,120 tỷ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18/10/2023,28/10/2023,Sale,LDP,38351707,0,5,False,False,163,SG,71,12441,2736,227
